,Drug,Disease
10232,DASATINIB,non-small cell lung carcinoma
10233,DURVALUMAB,lung adenocarcinoma
10234,GEMCITABINE,small cell lung carcinoma
10235,POZIOTINIB,lung adenocarcinoma
10236,TRETINOIN,lung cancer
10238,TALAZOPARIB,squamous cell lung carcinoma
10240,TRASTUZUMAB EMTANSINE,non-small cell lung carcinoma
10242,PACLITAXEL,small cell lung carcinoma
10244,PAZOPANIB,non-small cell lung carcinoma
10245,DOCETAXEL,small cell lung carcinoma
10247,SORAFENIB,small cell lung carcinoma
10248,METFORMIN,large cell lung carcinoma
10250,RAMUCIRUMAB,squamous cell lung carcinoma
10252,ANLOTINIB,lung cancer
10253,METFORMIN,adenosquamous lung carcinoma
10256,MK-2206,large cell lung carcinoma
10258,RONICICLIB,small cell lung carcinoma
10260,SAGOPILONE,small cell lung carcinoma
10262,HYDROXYCHLOROQUINE,non-small cell lung carcinoma
10264,METFORMIN,lung adenocarcinoma
10265,METFORMIN,small cell lung carcinoma
10267,PEMETREXED,large cell lung carcinoma
10270,CETUXIMAB,adenosquamous lung carcinoma
10274,SAMOTOLISIB,non-small cell lung carcinoma
10275,TREMELIMUMAB,pulmonary neuroendocrine tumor
10277,NIVOLUMAB,small cell lung carcinoma
10278,CEDIRANIB,non-small cell lung carcinoma
10280,ARSENIC TRIOXIDE,lung cancer
10282,IMATINIB,non-small cell lung carcinoma
10288,POZIOTINIB,non-small cell lung carcinoma
10292,BMS-690514,non-small cell lung carcinoma
10294,SAGOPILONE,non-small cell lung carcinoma
10295,LENVATINIB,lung adenocarcinoma
10301,ROMIDEPSIN,small cell lung carcinoma
10303,VATALANIB,non-small cell lung carcinoma
10304,SUNITINIB,small cell lung carcinoma
10305,PAZOPANIB,lung cancer
10311,AZD-4547,non-small cell lung carcinoma
10314,TASELISIB,squamous cell lung carcinoma
10316,AZD-4547,squamous cell lung carcinoma
10320,MOTEXAFIN GADOLINIUM,lung cancer
10322,DASATINIB,lung cancer
10324,BECATECARIN,lung cancer
10325,COBIMETINIB,non-small cell lung carcinoma
10341,VINFLUNINE,non-small cell lung carcinoma
10347,VORINOSTAT,non-small cell lung carcinoma
10349,IMATINIB,lung cancer
10351,AZACITIDINE,non-small cell lung carcinoma
10354,LINIFANIB,non-small cell lung carcinoma
10356,SUNITINIB,lung cancer
10358,VANDETANIB,small cell lung carcinoma
10359,PICTILISIB,non-small cell lung carcinoma
10361,PEGFILGRASTIM,lung adenocarcinoma
10364,VINFLUNINE,lung cancer
10365,CABAZITAXEL,small cell lung carcinoma
10371,BEVACIZUMAB,large cell lung carcinoma
10372,XL-999,non-small cell lung carcinoma
10374,IMIQUIMOD,non-small cell lung carcinoma
10377,ERDAFITINIB,non-small cell lung carcinoma
10397,CEDIRANIB,small cell lung carcinoma
10398,DASATINIB,squamous cell lung carcinoma
10405,METFORMIN,bronchoalveolar adenocarcinoma
10407,PENTOXIFYLLINE,non-small cell lung carcinoma
10416,ALDESLEUKIN,lung cancer
10423,DOVITINIB,non-small cell lung carcinoma
10425,TIPIFARNIB,lung cancer
10426,SIMVASTATIN,small cell lung carcinoma
10429,FULVESTRANT,lung cancer
10430,PIOGLITAZONE,squamous cell lung carcinoma
10433,ERDAFITINIB,squamous cell lung carcinoma
10438,TELISOTUZUMAB VEDOTIN,squamous cell lung carcinoma
10439,PASIREOTIDE,small cell lung carcinoma
10441,NINTEDANIB,lung cancer
10447,NINTEDANIB,small cell lung carcinoma
10454,DURVALUMAB,squamous cell lung carcinoma
10456,ERLOTINIB,squamous cell lung carcinoma
10458,PALBOCICLIB,non-small cell lung carcinoma
10461,EVEROLIMUS,non-small cell lung carcinoma
10462,IXABEPILONE,lung cancer
10468,CIXUTUMUMAB,lung adenocarcinoma
10473,MK-2206,bronchoalveolar adenocarcinoma
10475,ERLOTINIB,adenosquamous lung carcinoma
10477,BUPARLISIB,non-small cell lung carcinoma
10483,TRASTUZUMAB,lung cancer
10490,BINIMETINIB,non-small cell lung carcinoma
10493,LINSITINIB,non-small cell lung carcinoma
10498,IXABEPILONE,non-small cell lung carcinoma
10501,ADAVOSERTIB,small cell lung carcinoma
10502,ROMIDEPSIN,non-small cell lung carcinoma
10511,IPATASERTIB,non-small cell lung carcinoma
10515,CAPIVASERTIB,non-small cell lung carcinoma
10518,PIOGLITAZONE,lung cancer
10520,DIGOXIN,non-small cell lung carcinoma
10524,PASIREOTIDE,lung carcinoma
10527,VELIPARIB,small cell lung carcinoma
10536,UCN-01,small cell lung carcinoma
10538,GEMCITABINE,large cell lung carcinoma
10541,BORTEZOMIB,non-small cell lung carcinoma
10543,TRASTUZUMAB,non-small cell lung carcinoma
10552,VINORELBINE,large cell lung carcinoma
10553,MK-2206,lung cancer
10554,KETAMINE,lung cancer
10562,SIMVASTATIN,lung cancer
10563,VINFLUNINE,small cell lung carcinoma
10575,TREMELIMUMAB,lung cancer
10581,LENALIDOMIDE,non-small cell lung carcinoma
10593,NIMOTUZUMAB,non-small cell lung carcinoma
10598,DOCETAXEL,adenosquamous lung carcinoma
10608,NERATINIB,non-small cell lung carcinoma
10611,TREMELIMUMAB,squamous cell lung carcinoma
10622,DASATINIB,small cell lung carcinoma
10624,DIPHENHYDRAMINE,non-small cell lung carcinoma
10627,DOXYCYCLINE,non-small cell lung carcinoma
10659,CIXUTUMUMAB,non-small cell lung carcinoma
10660,GEFITINIB,small cell lung carcinoma
10661,TELISOTUZUMAB VEDOTIN,non-small cell lung carcinoma
10671,BEVACIZUMAB,small cell lung carcinoma
10673,PANITUMUMAB,lung cancer
10674,GANETESPIB,non-small cell lung carcinoma
10690,NINTEDANIB,squamous cell lung carcinoma
10706,PANITUMUMAB,non-small cell lung carcinoma
10713,LUCITANIB,non-small cell lung carcinoma
10721,DURVALUMAB,lung cancer
10732,BEVACIZUMAB,lung carcinoid tumor
10739,VISTUSERTIB,non-small cell lung carcinoma
10756,LUCITANIB,small cell lung carcinoma
10760,TIPIFARNIB,non-small cell lung carcinoma
10762,EVEROLIMUS,small cell lung carcinoma
10768,AFATINIB,lung cancer
10770,SELUMETINIB,lung cancer
10774,LINSITINIB,small cell lung carcinoma
10778,ACETAMINOPHEN,non-small cell lung carcinoma
10780,SARACATINIB,non-small cell lung carcinoma
10782,VALPROIC ACID,small cell lung carcinoma
10789,CM-082,small cell lung carcinoma
10810,ROGARATINIB,non-small cell lung carcinoma
10822,AXITINIB,non-small cell lung carcinoma
10825,HYDROXYCHLOROQUINE,small cell lung carcinoma
10828,IMATINIB,small cell lung carcinoma
10838,TALAZOPARIB,small cell lung carcinoma
10841,ERLOTINIB,bronchoalveolar adenocarcinoma
10844,SELINEXOR,small cell lung carcinoma
10846,LAPATINIB,non-small cell lung carcinoma
10847,MOTEXAFIN GADOLINIUM,non-small cell lung carcinoma
10852,PEGFILGRASTIM,small cell lung carcinoma
10857,TALAZOPARIB,non-small cell lung carcinoma
10863,PIOGLITAZONE,non-small cell lung carcinoma
10880,VISTUSERTIB,small cell lung carcinoma
10882,ADAVOSERTIB,non-small cell lung carcinoma
10887,BORTEZOMIB,bronchoalveolar adenocarcinoma
10908,BEXAROTENE,lung cancer
10911,RIVOCERANIB,lung cancer
10920,RETASPIMYCIN,non-small cell lung carcinoma
10927,CIXUTUMUMAB,small cell lung carcinoma
10928,FRUQUINTINIB,lung cancer
10930,MOCETINOSTAT,non-small cell lung carcinoma
10932,PALBOCICLIB,squamous cell lung carcinoma
10952,GEFITINIB,lung carcinoma
10954,SAPITINIB,non-small cell lung carcinoma
10970,CAPECITABINE,lung cancer
10982,MUPARFOSTAT,non-small cell lung carcinoma
10983,MUPARFOSTAT,lung cancer
10993,DURVALUMAB,large cell lung carcinoma
11009,NIMOTUZUMAB,lung cancer
11016,FULVESTRANT,non-small cell lung carcinoma
11029,PERTUZUMAB,non-small cell lung carcinoma
11031,RUXOLITINIB,non-small cell lung carcinoma
11034,BORTEZOMIB,lung cancer
11039,MK-2206,adenosquamous lung carcinoma
11040,TRETINOIN,small cell lung carcinoma
11050,IRINOTECAN,non-small cell lung carcinoma
11051,SIMVASTATIN,non-small cell lung carcinoma
11058,NIVOLUMAB,large cell lung carcinoma
11076,CILENGITIDE,non-small cell lung carcinoma
11077,FILGRASTIM,small cell lung carcinoma
11079,BECATECARIN,small cell lung carcinoma
11081,DOXORUBICIN,non-small cell lung carcinoma
11104,SARGRAMOSTIM,non-small cell lung carcinoma
11128,RIBOCICLIB,pulmonary neuroendocrine tumor
11130,FLUOROURACIL,non-small cell lung carcinoma
11143,DECITABINE,non-small cell lung carcinoma
11144,PEGFILGRASTIM,adenosquamous lung carcinoma
11146,AFLIBERCEPT,small cell lung carcinoma
11157,EPACADOSTAT,small cell lung carcinoma
11161,PREDNISONE,non-small cell lung carcinoma
11171,BEVACIZUMAB,adenosquamous lung carcinoma
11182,DENOSUMAB,non-small cell lung carcinoma
11199,GANETESPIB,small cell lung carcinoma
11204,ADAVOSERTIB,lung cancer
11228,AVELUMAB,small cell lung carcinoma
11244,ABEMACICLIB,lung cancer
11246,PREDNISONE,lung cancer
11255,DEXAMETHASONE,squamous cell lung carcinoma
11266,RETASPIMYCIN,lung cancer
11282,PEMETREXED,bronchoalveolar adenocarcinoma
11286,MIFEPRISTONE,non-small cell lung carcinoma
11323,METHYLPREDNISOLONE,non-small cell lung carcinoma
11351,EVEROLIMUS,lung carcinoma
11402,SILDENAFIL,non-small cell lung carcinoma
11411,ARSENIC TRIOXIDE,small cell lung carcinoma
11482,ATEZOLIZUMAB,lung cancer
11518,RIVOCERANIB,lung adenocarcinoma
11542,TEMSIROLIMUS,small cell lung carcinoma
11579,BORTEZOMIB,lung adenocarcinoma
11593,CETUXIMAB,lung adenocarcinoma
11604,TEMSIROLIMUS,lung carcinoid tumor
11605,RIVOCERANIB,lung carcinoma
11607,CIXUTUMUMAB,lung cancer
11635,CIXUTUMUMAB,large cell lung carcinoma
11637,DURVALUMAB,pulmonary neuroendocrine tumor
11638,PILARALISIB,non-small cell lung carcinoma
11639,PLINABULIN,small cell lung carcinoma
11640,BELINOSTAT,non-small cell lung carcinoma
11641,ACETAZOLAMIDE,small cell lung carcinoma
11643,TOSEDOSTAT,non-small cell lung carcinoma
11644,MIDAZOLAM,non-small cell lung carcinoma
11646,RONICICLIB,non-small cell lung carcinoma
11648,ROMIDEPSIN,lung cancer
11649,MOCETINOSTAT,lung cancer
11651,ROSUVASTATIN,non-small cell lung carcinoma
11654,VELIPARIB,squamous cell lung carcinoma
11656,ENMD-981693,non-small cell lung carcinoma
11657,RIBOCICLIB,non-small cell lung carcinoma
11660,PANOBINOSTAT,non-small cell lung carcinoma
11665,MOTESANIB,lung cancer
11666,CANNABIDIOL,lung cancer
11674,NINTEDANIB,lung adenocarcinoma
11677,EPACADOSTAT,non-small cell lung carcinoma
11679,FLUDARABINE PHOSPHATE,lung cancer
11680,GEDATOLISIB,non-small cell lung carcinoma
11682,THEOPHYLLINE,non-small cell lung carcinoma
11683,PANOBINOSTAT,lung cancer
11688,VINORELBINE,small cell lung carcinoma
11689,UCN-01,non-small cell lung carcinoma
11693,NAVITOCLAX,small cell lung carcinoma
11694,VOXTALISIB,non-small cell lung carcinoma
11695,OBATOCLAX,lung cancer
11699,ERGOCALCIFEROL,lung cancer
11701,FLUDARABINE PHOSPHATE,squamous cell lung carcinoma
11704,FORETINIB,lung cancer
11705,BUPARLISIB,lung cancer
11707,RUXOLITINIB,lung cancer
11709,TIVOZANIB,non-small cell lung carcinoma
11715,BINIMETINIB,lung cancer
11717,BIRABRESIB,non-small cell lung carcinoma
11731,REGORAFENIB,small cell lung carcinoma
11733,CALCITRIOL,non-small cell lung carcinoma
11739,SARGRAMOSTIM,lung cancer
11741,SIROLIMUS,small cell lung carcinoma
11750,SIROLIMUS,non-small cell lung carcinoma
11752,PEMETREXED,adenosquamous lung carcinoma
11760,VARENICLINE,lung cancer
11765,RUCAPARIB,non-small cell lung carcinoma
11770,NIRAPARIB,lung cancer
11771,BUPROPION,non-small cell lung carcinoma
11786,ORANTINIB,lung cancer
11793,NAVITOCLAX,non-small cell lung carcinoma
11794,CUDC-101,non-small cell lung carcinoma
11799,SIROLIMUS,lung adenocarcinoma
11808,CRIZOTINIB,lung cancer
11810,SELUMETINIB,squamous cell lung carcinoma
11811,SIROLIMUS,lung cancer
11815,EVEROLIMUS,pulmonary neuroendocrine tumor
11824,LITHIUM CARBONATE,small cell lung carcinoma
11829,RUCAPARIB,small cell lung carcinoma
11831,BUPARLISIB,small cell lung carcinoma
11838,POMALIDOMIDE,small cell lung carcinoma
11846,VORINOSTAT,small cell lung carcinoma
11849,TOCILIZUMAB,non-small cell lung carcinoma
11853,DURVALUMAB,lung carcinoma
11860,ETOPOSIDE,adenosquamous lung carcinoma
11866,BOSUTINIB,non-small cell lung carcinoma
11884,PALBOCICLIB,lung cancer
11897,MK-2206,non-small cell lung carcinoma
11906,EVEROLIMUS,lung cancer
11910,SELINEXOR,non-small cell lung carcinoma
11916,PIMASERTIB,non-small cell lung carcinoma
11923,VALPROIC ACID,lung cancer
11928,SIROLIMUS,squamous cell lung carcinoma
11931,DIPHENHYDRAMINE,lung cancer
11941,LETROZOLE,non-small cell lung carcinoma
11946,TANESPIMYCIN,lung cancer
11967,TEMSIROLIMUS,lung cancer
11984,ARSENIC TRIOXIDE,non-small cell lung carcinoma
12034,HYDROXYCHLOROQUINE,lung cancer
12042,HYDROXYUREA,lung cancer
12049,VALPROIC ACID,non-small cell lung carcinoma
12051,GANETESPIB,lung cancer
12113,SELINEXOR,squamous cell lung carcinoma
12142,VISTUSERTIB,squamous cell lung carcinoma
12143,ALDESLEUKIN,non-small cell lung carcinoma
12146,ASPIRIN,lung adenocarcinoma
12151,METFORMIN,systemic lupus erythematosus
12155,DEXAMETHASONE,systemic lupus erythematosus
12159,LENALIDOMIDE,cutaneous lupus erythematosus
12161,HYDROXYCHLOROQUINE,systemic lupus erythematosus
12163,"ESTROGENS, CONJUGATED",systemic lupus erythematosus
12167,ATORVASTATIN,systemic lupus erythematosus
12175,SIMVASTATIN,systemic lupus erythematosus
12178,THALIDOMIDE,systemic lupus erythematosus
12185,HYDROXYCHLOROQUINE,cutaneous lupus erythematosus
12195,THALIDOMIDE,cutaneous lupus erythematosus
12197,PIOGLITAZONE,systemic lupus erythematosus
12210,PREDNISONE,systemic lupus erythematosus
12232,PREDNISOLONE,systemic lupus erythematosus
12237,METHYLPREDNISOLONE,systemic lupus erythematosus
12238,MYCOPHENOLATE MOFETIL,systemic lupus erythematosus
12240,RITUXIMAB,systemic lupus erythematosus
12241,DIPHENHYDRAMINE,systemic lupus erythematosus
12243,ACETAMINOPHEN,systemic lupus erythematosus
12246,USTEKINUMAB,systemic lupus erythematosus
12253,METHOTREXATE,systemic lupus erythematosus
12258,ETANERCEPT,lupus erythematosus
12259,ABATACEPT,systemic lupus erythematosus
12260,RONTALIZUMAB,systemic lupus erythematosus
12261,THALIDOMIDE,lupus erythematosus
12262,SIFALIMUMAB,systemic lupus erythematosus
12263,ALITRETINOIN,cutaneous lupus erythematosus
12264,SIROLIMUS,systemic lupus erythematosus
12265,FILGRASTIM,systemic lupus erythematosus
12273,CYTARABINE,systemic lupus erythematosus
12275,FLUDARABINE PHOSPHATE,systemic lupus erythematosus
12276,FULVESTRANT,systemic lupus erythematosus
12277,UPADACITINIB,systemic lupus erythematosus
12280,ASPIRIN,systemic lupus erythematosus
12286,MEMANTINE,systemic lupus erythematosus
12299,ETANERCEPT,cutaneous lupus erythematosus
12301,BRENTUXIMAB VEDOTIN,systemic lupus erythematosus
12306,CHOLECALCIFEROL,systemic lupus erythematosus
12309,ALDESLEUKIN,systemic lupus erythematosus
12324,CALCITRIOL,systemic lupus erythematosus
12329,ERGOCALCIFEROL,cutaneous lupus erythematosus
12339,SECUKINUMAB,lupus erythematosus
12354,TACROLIMUS,cutaneous lupus erythematosus
12369,ARSENIC TRIOXIDE,systemic lupus erythematosus
12385,SIFALIMUMAB,lupus erythematosus
12397,TOFACITINIB,systemic lupus erythematosus
12401,ROSUVASTATIN,systemic lupus erythematosus
12402,APREMILAST,lupus erythematosus
12405,AMISELIMOD,systemic lupus erythematosus
12418,TOFACITINIB,cutaneous lupus erythematosus
12430,DALFAMPRIDINE,multiple sclerosis
12431,PREDNISONE,multiple sclerosis
12432,FINGOLIMOD,multiple sclerosis
12437,METHYLPREDNISOLONE,multiple sclerosis
12438,LEVETIRACETAM,multiple sclerosis
12439,FINGOLIMOD,relapsing-remitting multiple sclerosis
12444,DEXAMETHASONE,multiple sclerosis
12445,DALFAMPRIDINE,primary progressive multiple sclerosis
12452,LIDOCAINE,multiple sclerosis
12461,DALFAMPRIDINE,secondary progressive multiple sclerosis
12463,ACETAMINOPHEN,relapsing-remitting multiple sclerosis
12478,MEMANTINE,multiple sclerosis
12479,PREDNISONE,neuromyelitis optica
12491,CHOLECALCIFEROL,multiple sclerosis
12494,MYCOPHENOLATE MOFETIL,neuromyelitis optica
12498,IBUPROFEN,relapsing-remitting multiple sclerosis
12509,ALEMTUZUMAB,relapsing-remitting multiple sclerosis
12513,METHYLPREDNISOLONE,relapsing-remitting multiple sclerosis
12514,NATALIZUMAB,multiple sclerosis
12525,DOXYCYCLINE,multiple sclerosis
12539,PREDNISONE,relapsing-remitting multiple sclerosis
12544,PREDNISOLONE,multiple sclerosis
12552,NATALIZUMAB,relapsing-remitting multiple sclerosis
12561,SIMVASTATIN,multiple sclerosis
12565,RITUXIMAB,neuromyelitis optica
12572,ALEMTUZUMAB,multiple sclerosis
12594,METHOTREXATE,relapsing-remitting multiple sclerosis
12613,ACETAMINOPHEN,multiple sclerosis
12620,RITUXIMAB,multiple sclerosis
12633,ASPIRIN,relapsing-remitting multiple sclerosis
12657,METHOTREXATE,multiple sclerosis
12677,AMIFAMPRIDINE,multiple sclerosis
12678,AMANTADINE,multiple sclerosis
12679,DALFAMPRIDINE,relapsing-remitting multiple sclerosis
12684,MIDAZOLAM,relapsing-remitting multiple sclerosis
12685,WARFARIN,relapsing-remitting multiple sclerosis
12687,CAFFEINE,relapsing-remitting multiple sclerosis
12688,FINGOLIMOD,primary progressive multiple sclerosis
12692,ERGOCALCIFEROL,multiple sclerosis
12712,QUINIDINE,multiple sclerosis
12715,NAPROXEN,multiple sclerosis
12737,METHYLPHENIDATE,multiple sclerosis
12738,DEXTROMETHORPHAN,multiple sclerosis
12744,SIMVASTATIN,relapsing-remitting multiple sclerosis
12746,MASITINIB,chronic progressive multiple sclerosis
12753,METHYLPREDNISOLONE,chronic progressive multiple sclerosis
12754,DEXTROMETHORPHAN,relapsing-remitting multiple sclerosis
12756,IBUPROFEN,multiple sclerosis
12763,RITUXIMAB,relapsing-remitting multiple sclerosis
12768,SIMVASTATIN,secondary progressive multiple sclerosis
12777,NALTREXONE,multiple sclerosis
12809,CHOLECALCIFEROL,relapsing-remitting multiple sclerosis
12816,OMEPRAZOLE,relapsing-remitting multiple sclerosis
12821,ESTRADIOL,multiple sclerosis
12824,NATALIZUMAB,secondary progressive multiple sclerosis
12827,FILGRASTIM,relapsing-remitting multiple sclerosis
12841,TOPIRAMATE,multiple sclerosis
12843,SECUKINUMAB,multiple sclerosis
12844,RILUZOLE,multiple sclerosis
12846,SELURAMPANEL,multiple sclerosis
12847,ATORVASTATIN,multiple sclerosis
12848,NERISPIRDINE,multiple sclerosis
12852,ATORVASTATIN,relapsing-remitting multiple sclerosis
12862,LAMOTRIGINE,secondary progressive multiple sclerosis
12866,FLUDARABINE PHOSPHATE,multiple sclerosis
12870,RILUZOLE,secondary progressive multiple sclerosis
12874,ETOPOSIDE,relapsing-remitting multiple sclerosis
12875,OXCARBAZEPINE,multiple sclerosis
12878,AMISELIMOD,relapsing-remitting multiple sclerosis
12880,CYTARABINE,neuromyelitis optica
12882,MYCOPHENOLATE MOFETIL,multiple sclerosis
12884,METHYLPREDNISOLONE,neuromyelitis optica
12886,CYTARABINE,relapsing-remitting multiple sclerosis
12888,ACETAZOLAMIDE,multiple sclerosis
12906,IMATINIB,multiple sclerosis
12910,MELATONIN,relapsing-remitting multiple sclerosis
12932,LAMOTRIGINE,relapsing-remitting multiple sclerosis
12937,MASITINIB,multiple sclerosis
12938,ABATACEPT,multiple sclerosis
12941,BORTEZOMIB,neuromyelitis optica
12957,HYDROXYCHLOROQUINE,chronic progressive multiple sclerosis
12970,ETOPOSIDE,neuromyelitis optica
12979,TACROLIMUS,multiple sclerosis
13002,ABATACEPT,relapsing-remitting multiple sclerosis
13015,RITUXIMAB,secondary progressive multiple sclerosis
13018,FILGRASTIM,neuromyelitis optica
13020,NATALIZUMAB,primary progressive multiple sclerosis
13035,HYDROXYUREA,multiple sclerosis
13048,TOCILIZUMAB,neuromyelitis optica
13051,USTEKINUMAB,multiple sclerosis
13059,CARMUSTINE,neuromyelitis optica
13066,RITUXIMAB,chronic progressive multiple sclerosis
13102,CARMUSTINE,relapsing-remitting multiple sclerosis
13124,TEMSIROLIMUS,relapsing-remitting multiple sclerosis
13126,SECUKINUMAB,relapsing-remitting multiple sclerosis
13127,METFORMIN,multiple sclerosis
13134,FILGRASTIM,multiple sclerosis
13137,FINGOLIMOD,chronic progressive multiple sclerosis
13146,LIOTHYRONINE,multiple sclerosis
13150,LITHIUM CARBONATE,multiple sclerosis
13160,SIROLIMUS,relapsing-remitting multiple sclerosis
13162,LIOTHYRONINE,relapsing-remitting multiple sclerosis
13164,PIOGLITAZONE,multiple sclerosis
13165,MELATONIN,multiple sclerosis
13168,RITUXIMAB,primary progressive multiple sclerosis
13170,PIOGLITAZONE,relapsing-remitting multiple sclerosis
13171,METHYLPHENIDATE,chronic progressive multiple sclerosis
13175,BEVACIZUMAB,neuromyelitis optica
13179,METHYLPHENIDATE,relapsing-remitting multiple sclerosis
13204,LIOTHYRONINE,chronic progressive multiple sclerosis
13214,HYDROXYCHLOROQUINE,multiple sclerosis
13248,FLUDARABINE PHOSPHATE,neuromyelitis optica
13260,LIDOCAINE,obesity
13261,METFORMIN,obesity
13262,MIDAZOLAM,obesity
13266,PROPOFOL,obesity
13269,TOPIRAMATE,obesity
13272,MIDAZOLAM,morbid obesity
13274,DEXFENFLURAMINE,obesity
13278,OCTREOTIDE,obesity
13281,ROCURONIUM,morbid obesity
13282,CARVEDILOL,obesity
13283,DESFLURANE,obesity
13285,PROPOFOL,morbid obesity
13286,BUPROPION,obesity
13297,EPHEDRINE,obesity
13311,ERGOCALCIFEROL,obesity
13313,ACETAMINOPHEN,obesity
13315,ZONISAMIDE,obesity
13333,ACETAMINOPHEN,morbid obesity
13341,PENTOXIFYLLINE,obesity
13344,LIRAGLUTIDE,obesity
13357,ROCURONIUM,obesity
13364,FENFLURAMINE,obesity
13372,OCTREOTIDE,morbid obesity
13381,"ESTROGENS, CONJUGATED",obesity
13396,IBUPROFEN,obesity
13445,DEXMEDETOMIDINE,obesity
13451,CHOLECALCIFEROL,obesity
13476,METOPROLOL,obesity
13490,NALTREXONE,obesity
13501,LETROZOLE,obesity
13502,SIMVASTATIN,obesity
13512,IBUPROFEN,morbid obesity
13561,VALPROIC ACID,obesity
13564,LIRAGLUTIDE,morbid obesity
13586,SILDENAFIL,obesity
13599,LIDOCAINE,morbid obesity
13600,TOPIRAMATE,Prader-Willi syndrome
13602,KETAMINE,morbid obesity
13606,CAFFEINE,obesity
13612,LAMOTRIGINE,obesity
13621,ESTRADIOL,obesity
13624,OCTREOTIDE,Prader-Willi syndrome
13651,DEXMEDETOMIDINE,morbid obesity
13688,ROSUVASTATIN,obesity
13697,METFORMIN,Bardet-Biedl syndrome
13698,THEOPHYLLINE,Pseudohypoparathyroidism type 1A
13717,SEVOFLURANE,morbid obesity
13721,NALOXONE,obesity
13727,SEVOFLURANE,obesity
13751,PRAMLINTIDE,obesity
13800,THEOPHYLLINE,Albright hereditary osteodystrophy
13802,CANNABIDIOL,Prader-Willi syndrome
13880,PIOGLITAZONE,obesity
13890,BROMOCRIPTINE,obesity
13896,VALPROIC ACID,Rubinstein-Taybi syndrome
13903,METOPROLOL,Prader-Willi syndrome
13980,ROFLUMILAST,obesity
13981,MEMANTINE,obesity
14013,HYDROCORTISONE,obesity
14018,CELECOXIB,obesity
14019,PHENTOLAMINE,obesity
14036,AMANTADINE,postencephalitic Parkinson disease
14038,AMANTADINE,Parkinson's disease
14039,DEXMEDETOMIDINE,Parkinson's disease
14044,BROMOCRIPTINE,Parkinson's disease
14047,AMANTADINE,secondary Parkinson disease
14055,ZONISAMIDE,Parkinson's disease
14061,MELATONIN,Parkinson's disease
14062,PROPOFOL,Parkinson's disease
14065,ATROPINE,Parkinson's disease
14067,MEMANTINE,Parkinson's disease
14073,ORPHENADRINE,Parkinson's disease
14077,CYTARABINE,Parkinson's disease
14093,CHOLECALCIFEROL,Parkinson's disease
14104,VARENICLINE,Parkinson's disease
14117,METHYLPHENIDATE,Parkinson's disease
14125,NICOTINE,Parkinson's disease
14129,LEVETIRACETAM,Parkinson's disease
14203,PERAMPANEL,Parkinson's disease
14204,CAFFEINE,Parkinson's disease
14206,VENLAFAXINE,Parkinson's disease
14224,NALOXONE,Parkinson's disease
14234,SILDENAFIL,Parkinson's disease
14238,TOPIRAMATE,Parkinson's disease
14247,SIMVASTATIN,Parkinson's disease
14260,CANNABIDIOL,Parkinson's disease
14264,PIOGLITAZONE,Parkinson's disease
14267,FILGRASTIM,Parkinson's disease
14276,LIRAGLUTIDE,Parkinson's disease
14277,DEXTROMETHORPHAN,Parkinson's disease
14282,"ESTROGENS, CONJUGATED",Parkinson's disease
14316,ACETAMINOPHEN,Parkinson's disease
14318,SIROLIMUS,Parkinson's disease
14319,FLUMAZENIL,Parkinson's disease
14324,METHYLPREDNISOLONE,Parkinson's disease
14325,ROSUVASTATIN,Parkinson's disease
14327,LITHIUM CARBONATE,Parkinson's disease
14328,MIDAZOLAM,Parkinson's disease
14335,SARGRAMOSTIM,Parkinson's disease
14338,WARFARIN,Parkinson's disease
14346,PREDNISONE,Parkinson's disease
14358,METFORMIN,prostate cancer
14359,DEXAMETHASONE,prostate cancer
14362,LIDOCAINE,prostate carcinoma
14367,PREDNISOLONE,prostate cancer
14368,ZOLEDRONIC ACID,prostate cancer
14373,CABAZITAXEL,prostate cancer
14374,ZOLEDRONIC ACID,prostate carcinoma
14380,PREDNISONE,prostate cancer
14384,FILGRASTIM,prostate cancer
14387,ROPIVACAINE,prostate cancer
14391,KETAMINE,prostate cancer
14392,DOCETAXEL,prostate adenocarcinoma
14396,MEPIVACAINE,prostate cancer
14403,ABIRATERONE,prostate cancer
14409,ASPIRIN,prostate cancer
14419,DEXAMETHASONE,metastatic prostate cancer
14422,PREDNISONE,metastatic prostate cancer
14429,MIDAZOLAM,prostate cancer
14446,PEGFILGRASTIM,prostate cancer
14456,DIPHENHYDRAMINE,prostate cancer
14545,DOCETAXEL,prostate cancer
14546,VINBLASTINE,prostate cancer
14547,PACLITAXEL,prostate cancer
14548,ZOLEDRONIC ACID,prostate adenocarcinoma
14555,DOCETAXEL,metastatic prostate cancer
14559,CABAZITAXEL,prostate adenocarcinoma
14561,ABIRATERONE,metastatic prostate cancer
14562,LENALIDOMIDE,prostate cancer
14564,RUCAPARIB,prostate adenocarcinoma
14565,CAPIVASERTIB,prostate cancer
14566,OLAPARIB,prostate cancer
14568,CHOLECALCIFEROL,prostate adenocarcinoma
14570,PREDNISONE,prostate adenocarcinoma
14571,PREDNISONE,prostate carcinoma
14575,DENOSUMAB,prostate cancer
14577,ABIRATERONE,prostate adenocarcinoma
14578,HYDROCORTISONE,prostate cancer
14581,MASITINIB,prostate cancer
14586,DOXORUBICIN,prostate cancer
14588,SILDENAFIL,prostate cancer
14592,CALCITRIOL,prostate cancer
14597,TAMOXIFEN,prostate cancer
